diseaseArea,plotLabel,factor,overlapCount,intensity,azPrograms,bmsPrograms,relationship,diseaseSlug,factorSlug,cellId
Solid-tumor oncology,Solid tumors,Shared indications,2,3,11,7,Strong collision,solid-tumor-oncology,shared-indications,solid-tumor-oncology--shared-indications
Solid-tumor oncology,Solid tumors,Shared modalities,4,3,11,7,Strong collision,solid-tumor-oncology,shared-modalities,solid-tumor-oncology--shared-modalities
Solid-tumor oncology,Solid tumors,Shared target / mechanism,2,3,11,7,Strong collision,solid-tumor-oncology,shared-target-mechanism,solid-tumor-oncology--shared-target-mechanism
Solid-tumor oncology,Solid tumors,Stage alignment,2,3,11,7,Strong collision,solid-tumor-oncology,stage-alignment,solid-tumor-oncology--stage-alignment
Hematology,Hematology,Shared indications,2,3,4,4,Strong collision,hematology,shared-indications,hematology--shared-indications
Hematology,Hematology,Shared modalities,2,3,4,4,Strong collision,hematology,shared-modalities,hematology--shared-modalities
Hematology,Hematology,Shared target / mechanism,1,3,4,4,Strong collision,hematology,shared-target-mechanism,hematology--shared-target-mechanism
Hematology,Hematology,Stage alignment,1,2,4,4,Strong collision,hematology,stage-alignment,hematology--stage-alignment
"Immunology, respiratory & fibrosis",Immunology / resp. / fibrosis,Shared indications,0,0,7,3,Platform adjacency,immunology-respiratory-and-fibrosis,shared-indications,immunology-respiratory-and-fibrosis--shared-indications
"Immunology, respiratory & fibrosis",Immunology / resp. / fibrosis,Shared modalities,2,1,7,3,Platform adjacency,immunology-respiratory-and-fibrosis,shared-modalities,immunology-respiratory-and-fibrosis--shared-modalities
"Immunology, respiratory & fibrosis",Immunology / resp. / fibrosis,Shared target / mechanism,0,0,7,3,Platform adjacency,immunology-respiratory-and-fibrosis,shared-target-mechanism,immunology-respiratory-and-fibrosis--shared-target-mechanism
"Immunology, respiratory & fibrosis",Immunology / resp. / fibrosis,Stage alignment,1,1,7,3,Platform adjacency,immunology-respiratory-and-fibrosis,stage-alignment,immunology-respiratory-and-fibrosis--stage-alignment
Cardiovascular,CV,Shared indications,1,2,3,2,Narrow adjacency,cardiovascular,shared-indications,cardiovascular--shared-indications
Cardiovascular,CV,Shared modalities,1,1,3,2,Narrow adjacency,cardiovascular,shared-modalities,cardiovascular--shared-modalities
Cardiovascular,CV,Shared target / mechanism,0,0,3,2,Narrow adjacency,cardiovascular,shared-target-mechanism,cardiovascular--shared-target-mechanism
Cardiovascular,CV,Stage alignment,2,2,3,2,Narrow adjacency,cardiovascular,stage-alignment,cardiovascular--stage-alignment
Rare disease,Rare disease,Shared indications,0,0,9,0,AZ-led fit,rare-disease,shared-indications,rare-disease--shared-indications
Rare disease,Rare disease,Shared modalities,0,0,9,0,AZ-led fit,rare-disease,shared-modalities,rare-disease--shared-modalities
Rare disease,Rare disease,Shared target / mechanism,0,0,9,0,AZ-led fit,rare-disease,shared-target-mechanism,rare-disease--shared-target-mechanism
Rare disease,Rare disease,Stage alignment,0,0,9,0,AZ-led fit,rare-disease,stage-alignment,rare-disease--stage-alignment
Renal & metabolic,Renal / metabolic,Shared indications,0,0,7,0,AZ-led fit,renal-and-metabolic,shared-indications,renal-and-metabolic--shared-indications
Renal & metabolic,Renal / metabolic,Shared modalities,0,0,7,0,AZ-led fit,renal-and-metabolic,shared-modalities,renal-and-metabolic--shared-modalities
Renal & metabolic,Renal / metabolic,Shared target / mechanism,0,0,7,0,AZ-led fit,renal-and-metabolic,shared-target-mechanism,renal-and-metabolic--shared-target-mechanism
Renal & metabolic,Renal / metabolic,Stage alignment,0,0,7,0,AZ-led fit,renal-and-metabolic,stage-alignment,renal-and-metabolic--stage-alignment
Infectious disease,Infectious disease,Shared indications,0,0,3,0,AZ-led fit,infectious-disease,shared-indications,infectious-disease--shared-indications
Infectious disease,Infectious disease,Shared modalities,0,0,3,0,AZ-led fit,infectious-disease,shared-modalities,infectious-disease--shared-modalities
Infectious disease,Infectious disease,Shared target / mechanism,0,0,3,0,AZ-led fit,infectious-disease,shared-target-mechanism,infectious-disease--shared-target-mechanism
Infectious disease,Infectious disease,Stage alignment,0,0,3,0,AZ-led fit,infectious-disease,stage-alignment,infectious-disease--stage-alignment
Neuroscience,Neuroscience,Shared indications,0,0,0,2,BMS-led fit,neuroscience,shared-indications,neuroscience--shared-indications
Neuroscience,Neuroscience,Shared modalities,0,0,0,2,BMS-led fit,neuroscience,shared-modalities,neuroscience--shared-modalities
Neuroscience,Neuroscience,Shared target / mechanism,0,0,0,2,BMS-led fit,neuroscience,shared-target-mechanism,neuroscience--shared-target-mechanism
Neuroscience,Neuroscience,Stage alignment,0,0,0,2,BMS-led fit,neuroscience,stage-alignment,neuroscience--stage-alignment
